Url;Date;Tweet ID;Tweet Place;User;User place;Retweet Count;Reply Count
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:15:50 +0000 2016;683275506284761089;;greychampion;Russian River Appellation;0.0;0.0
http://od-novorossia.livejournal.com/1587660.html;Tue Jan 05 16:21:04 +0000 2016;684409288417218560;;ArsMn;планета Земля;0.0;0.0
http://od-novorossia.livejournal.com/1587660.html;Tue Jan 05 15:39:55 +0000 2016;684398931678228480;;p170598;УРАЛ;0.0;0.0
http://od-novorossia.livejournal.com/1587660.html;Tue Jan 05 15:26:41 +0000 2016;684395603355406336;;ataxatax;Якутск, Россия;2.0;1.0
http://od-novorossia.livejournal.com/1587660.html;Sun Jan 03 08:04:25 +0000 2016;683559524331032576;;Tina_Oda;Краснодар;0.0;0.0
http://od-novorossia.livejournal.com/1587660.html;Sun Jan 03 05:13:35 +0000 2016;683516534304542720;;AndreyNokhrin;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Mon Jan 11 10:10:50 +0000 2016;686490441580199937;;randmite80;Санкт-Петербург;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Tue Jan 05 08:09:39 +0000 2016;684285620076822530;;ryzhkov154;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:42:16 +0000 2016;683644549118472192;;777_dron;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:22:01 +0000 2016;683639452992929792;;LikaVed;Россия-матушка родная;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:12:32 +0000 2016;683637066031304705;;SollyZero;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:11:50 +0000 2016;683636891044999168;;olegnovok;Воронеж;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:07:35 +0000 2016;683635819001835520;;GreyJackRussell;СПБ;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:07:13 +0000 2016;683635729205997568;;lubava61;Тольятти, Самарская область;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 13:04:44 +0000 2016;683635103713636352;;CloudletN;Россия;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 02:59:32 +0000 2016;683482799291105280;;drskantze;Gothenburg, Sweden;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 02:39:02 +0000 2016;683477638556594178;;Pessiministern;Internet;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 02:14:44 +0000 2016;683471523450077185;;porridgeisgood;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sun Jan 03 01:22:09 +0000 2016;683458293562511360;;br_green_heart;Everywhere;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 22:39:28 +0000 2016;683417351010828288;;docmorry;Ferryland, NL, Canada;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 22:21:59 +0000 2016;683412950992945152;;AV_Igonin;;0.0;0.0
http://www.ntv.ru/novosti/1590063/;Sat Jan 02 21:04:14 +0000 2016;683393383990190080;;oliv917;;2.0;0.0
