date;node;edge;user_node;user_edge;node_descrip;node_user_descrip;node_size;url
Tue Mar 29 06:00:08 +0000 2016;714693607052222464;('714693607052222464', '714693107330260992');2751972253;('2751972253', '42617240');"RT @zvezdanews: «Серые волки» Эрдогана: что делают на границе с Крымом полчища турецких наемников

https://t.co/9yHP6MVm0m https://t.co/ECw…";FRANZUSE;;http://tvzvezda.ru/news/vstrane_i_mire/content/201603290811-pxf2.htm
Tue Mar 29 05:59:16 +0000 2016;714693386268196864;('714693386268196864', '714693107330260992');1337086532;('1337086532', '42617240');"RT @zvezdanews: «Серые волки» Эрдогана: что делают на границе с Крымом полчища турецких наемников

https://t.co/9yHP6MVm0m https://t.co/ECw…";VasiliewSlava;;http://tvzvezda.ru/news/vstrane_i_mire/content/201603290811-pxf2.htm
Tue Mar 29 05:58:41 +0000 2016;714693241510166529;('714693241510166529', '714693107330260992');2304926822;('2304926822', '42617240');"RT @zvezdanews: «Серые волки» Эрдогана: что делают на границе с Крымом полчища турецких наемников

https://t.co/9yHP6MVm0m https://t.co/ECw…";GOlegovich;;http://tvzvezda.ru/news/vstrane_i_mire/content/201603290811-pxf2.htm
Fri Apr 08 13:29:29 +0000 2016;718430564693504000;('718430564693504000', '717139109370695680');1243694612;('1243694612', '1159436552');"RT @Federal_Reverse: Putinphobia hits boiling point
Kremlin: ‘Insinuations’ in Panama leak don’t need response
https://t.co/HPzlwe5s5L http…";indisch__meisje;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Mon Apr 04 23:57:42 +0000 2016;717139109370695680;;1159436552;;"Putinphobia hits boiling point
Kremlin: ‘Insinuations’ in Panama leak don’t need response
https://t.co/HPzlwe5s5L https://t.co/vosPGFRntw";Federal_Reverse;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Thu Apr 07 10:46:03 +0000 2016;718027048216694784;('718027048216694784', '717977382263468032');3558650355;('3558650355', '2400780715');RT @armypsyop: Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/QbA0h0irgN;setbear1;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Thu Apr 07 07:28:41 +0000 2016;717977382263468032;;2400780715;;Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/QbA0h0irgN;armypsyop;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Thu Apr 07 07:53:50 +0000 2016;717983711082336256;('717983711082336256', '717977382263468032');3288348368;('3288348368', '2400780715');RT @armypsyop: Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/QbA0h0irgN;spidey_irl;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Wed Apr 06 13:43:42 +0000 2016;717709367823306752;('717709367823306752', '717151825380581376');14821777;('14821777', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;vapee;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:48:13 +0000 2016;717151825380581376;;180747828;;12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;pui_tuangporn;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Wed Apr 06 11:52:32 +0000 2016;717681391299731456;('717681391299731456', '717671428779184128');3038432233;('3038432233', '590392651');RT @ericdn627: The Panama Papers have revealed staggering accounts of financial misdeeds.  Despite not being mentioned directly... https://…;Juan_MendozaR;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Wed Apr 06 11:12:56 +0000 2016;717671428779184128;;590392651;;The Panama Papers have revealed staggering accounts of financial misdeeds.  Despite not being mentioned directly... https://t.co/wfPYZfH2EA;ericdn627;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 23:40:52 +0000 2016;717497263132643329;('717497263132643329', '717154460208734209');257451204;('257451204', '2516920201');"RT @Whtapl: We're calling this a #PanamaLeaks when it could be more of a gusher
https://t.co/N1ivQ3qlCg https://t.co/EBs1jp5TTw https://t.c…";bankstercrusher;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 00:58:42 +0000 2016;717154460208734209;;2516920201;;"We're calling this a #PanamaLeaks when it could be more of a gusher
https://t.co/N1ivQ3qlCg https://t.co/EBs1jp5TTw https://t.co/LDvCHszJbX";Whtapl;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 17:03:30 +0000 2016;717397261114707969;('717397261114707969', '717151825380581376');2385330348;('2385330348', '180747828');RT @pui_tuangporn: 12 ผู้นำระดับโลกที่มีรายชื่ออยู่ใน #PanamaPapers  https://t.co/1P09BAdA29 https://t.co/hlj9E7pX6L;jtmkhsw;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
Tue Apr 05 16:10:32 +0000 2016;717383930966589440;('717383930966589440', '717084042487808001');4218861628;('4218861628', '2385887136');RT @MeaganMacha: Putinophobia hits boiling point: Kremlin says ‘insinuations’ in Panama leak don’t need response https://t.co/5ifVPzVLU2;NastyaWebb;;https://www.rt.com/news/338335-peskov-panama-leak-putin/
